"DATE","TIME PERIOD","US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period (FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA)"
"2015-01-31","2015Jan","0.2543"
"2015-02-28","2015Feb","0.2584"
"2015-03-31","2015Mar","0.2683"
"2015-04-30","2015Apr","0.2760"
"2015-05-31","2015May","0.2795"
"2015-06-30","2015Jun","0.2827"
"2015-07-31","2015Jul","0.2907"
"2015-08-31","2015Aug","0.3208"
"2015-09-30","2015Sep","0.3311"
"2015-10-31","2015Oct","0.3214"
"2015-11-30","2015Nov","0.3710"
"2015-12-31","2015Dec","0.5332"
"2016-01-31","2016Jan","0.6196"
"2016-02-29","2016Feb","0.6227"
"2016-03-31","2016Mar","0.6320"
"2016-04-30","2016Apr","0.6327"
"2016-05-31","2016May","0.6448"
"2016-06-30","2016Jun","0.6516"
"2016-07-31","2016Jul","0.6963"
"2016-08-31","2016Aug","0.8102"
"2016-09-30","2016Sep","0.8497"
"2016-10-31","2016Oct","0.8787"
"2016-11-30","2016Nov","0.9085"
"2016-12-31","2016Dec","0.9753"
"2017-01-31","2017Jan","1.0257"
"2017-02-28","2017Feb","1.0446"
"2017-03-31","2017Mar","1.1347"
"2017-04-30","2017Apr","1.1590"
"2017-05-31","2017May","1.1858"
"2017-06-30","2017Jun","1.2624"
"2017-07-31","2017Jul","1.3075"
"2017-08-31","2017Aug","1.3142"
"2017-09-30","2017Sep","1.3233"
"2017-10-31","2017Oct","1.3608"
"2017-11-30","2017Nov","1.4342"
"2017-12-31","2017Dec","1.6018"
"2018-01-31","2018Jan","1.7340"
"2018-02-28","2018Feb","1.8747"
"2018-03-31","2018Mar","2.1734"
"2018-04-30","2018Apr","2.3494"
"2018-05-31","2018May","2.3356"
"2018-06-30","2018Jun","2.3303"
"2018-07-31","2018Jul","2.3391"
"2018-08-31","2018Aug","2.3236"
"2018-09-30","2018Sep","2.3494"
"2018-10-31","2018Oct","2.4606"
"2018-11-30","2018Nov","2.6492"
"2018-12-31","2018Dec","2.7877"
"2019-01-31","2019Jan","2.7742"
"2019-02-28","2019Feb","2.6767"
"2019-03-31","2019Mar","2.6057"
"2019-04-30","2019Apr","2.5895"
"2019-05-31","2019May","2.5317"
"2019-06-30","2019Jun","2.3975"
"2019-07-31","2019Jul","2.2937"
"2019-08-31","2019Aug","2.1648"
"2019-09-30","2019Sep","2.1252"
"2019-10-31","2019Oct","1.9774"
"2019-11-30","2019Nov","1.9048"
"2019-12-31","2019Dec","1.9076"
"2020-01-31","2020Jan","1.8197"
"2020-02-29","2020Feb","1.6789"
"2020-03-31","2020Mar","1.1024"
"2020-04-30","2020Apr","1.0919"
"2020-05-31","2020May","0.4019"
"2020-06-30","2020Jun","0.3103"
"2020-07-31","2020Jul","0.2678"
"2020-08-31","2020Aug","0.2528"
"2020-09-30","2020Sep","0.2369"
"2020-10-31","2020Oct","0.2213"
"2020-11-30","2020Nov","0.2200"
"2020-12-31","2020Dec","0.2346"
"2021-01-31","2021Jan","0.2236"
"2021-02-28","2021Feb","0.1904"
"2021-03-31","2021Mar","0.1896"
"2021-04-30","2021Apr","0.1852"
"2021-05-31","2021May","0.1525"
"2021-06-30","2021Jun","0.1328"
"2021-07-31","2021Jul","0.1308"
"2021-08-31","2021Aug","0.1245"
"2021-09-30","2021Sep","0.1227"
"2021-10-31","2021Oct","0.1272"
"2021-11-30","2021Nov","0.1589"
"2021-12-31","2021Dec","0.2066"
"2022-01-31","2022Jan","0.2541"
"2022-02-28","2022Feb","0.4318"
"2022-03-31","2022Mar","0.8397"
"2022-04-30","2022Apr","1.0997"
"2022-05-31","2022May","1.4667"
"2022-06-30","2022Jun","1.9689"
"2022-07-31","2022Jul","2.6105"
"2022-08-31","2022Aug","2.9521"
"2022-09-30","2022Sep","3.4494"
"2022-10-31","2022Oct","4.1407"
"2022-11-30","2022Nov","4.6493"
"2022-12-31","2022Dec","4.7390"
"2023-01-31","2023Jan","4.8051"
"2023-02-28","2023Feb","4.8879"
"2023-03-31","2023Mar","5.0518"
"2023-04-30","2023Apr","5.2513"
"2023-05-31","2023May","5.3779"
"2023-06-30","2023Jun","5.5263"
"2023-07-31","2023Jul","5.5844"
"2023-08-31","2023Aug","5.6427"
"2023-09-30","2023Sep","5.6615"
"2023-10-31","2023Oct","5.6597"
"2023-11-30","2023Nov","5.6395"
"2023-12-31","2023Dec","5.6274"
"2024-01-31","2024Jan","5.5811"
"2024-02-29","2024Feb","5.5793"
"2024-03-31","2024Mar","5.5817"
"2024-04-30","2024Apr","5.5785"
"2024-05-31","2024May","5.5938"
"2024-06-30","2024Jun","5.6019"
"2024-07-31","2024Jul","5.5482"
"2024-08-31","2024Aug","5.3644"
"2024-09-30","2024Sep","5.0970"
